sentence,sentiment,topic,is_augmented
đồ họa máy tính là môn có hình thức thực hành 1 .,1,1,False
Buồn ghê.,0,3,True
thầy nên chú trọng đến truyền đạt cho sinh viên nhiều hơn .,0,0,False
cần chỉ dẫn các bước giải toán chi tiết hơn để cho sinh viên hiểu vì đây là một môn học khó .,0,0,False
em thích đi học tiết của thầy nhất .,2,0,False
Trong quá trình học có phần thuyết trình giữa các nhóm.,1,1,True
thầy chú trọng trọng tâm và luôn kể chuyện vui .,2,0,False
"thầy rất niềm nở , vui vẻ , tận tâm và nhiệt tình .",2,0,False
Môn này cuốn nên em đi học không thiếu buổi nào.,2,3,True
Nên up thêm tài liệu môn học lên web cho sv dễ tìm.,0,1,True
"Đồ án môn học quá nặng, mà việc phân công chưa hợp lý với năng lực của từng sv.",0,1,True
"thầy không dùng slide bài giảng để dạy , nhưng phong cách dạy của thầy rất tuyệt vời , rất hay và dễ hiểu .",2,0,False
"nhiệt tình , đề cương đầy đủ .",2,0,False
"những điều này nghe tưởng chừng không liên quan đến môn học , nhưng lại giúp cho sinh viên phần nào có định hướng được công việc tương lai của mình .",2,1,False
trợ giảng dạy không hiểu gì .,0,0,False
có tâm huyết với lớp và chương trình học .,2,0,False
Cần chỉnh lại máy chiếu cho khớp với phông màn nha trường.,0,2,True
BTVN hơi khoai.,0,1,True
thời gian tăng từ 4 tiết lên đến 5 tiết khiến sinh viên mệt mỏi và thiếu tập trung ở cuối giờ học .,0,1,False
"Gv có lúc giảng rất chi tiết, có lúc lại lướt nhanh.",1,0,True
"không khí lớp học vui vẻ , thoải mái .",2,0,False
Bài tập hơi ít.,0,1,True
giảng viên giải thích một số ví dụ mẫu chưa rõ ràng .,0,0,False
"tâm huyết , nhiệt tình .",2,0,False
trong khi thầy giảng nội dung rất khó hiểu .,0,0,False
Lý thuyết cần được giảng giải kỹ hơn chút ạ.,0,1,True
hay trả lời thắc mắc của sinh viên .,2,0,False
nên có đồ án nhỏ như một phần thế cho thi giữa kỳ hoặc điểm chiếm 20% để sinh viên cảm nhận được thực tế của môn học .,0,1,False
"giảng viên giảng bài hơi nhàm chán , gây cảm giác buồn ngủ , có nhiều chỗ hơi lan man .",0,0,False
"vui vẻ , có trách nhiệm .",2,0,False
Môn học này tập trung nhiều vào kĩ năng nghe tiếng Anh.,1,1,True
em mong thầy giảm thời lượng seminar và tăng thêm các buổi thầy dạy kiến thức .,0,0,False
Môn học nên có nhiều ứng dụng thực tiễn hơn thì tốt ạ.,0,1,True
"cô tận tâm , hỗ trợ nhiệt tình .",2,0,False
thầy hơi bận .,0,0,False
"Việc code giấy tốn thời gian quá trời, nên đổi sang cách khác đi ạ.",0,1,True
"tận tâm , vui tính .",2,0,False
và sinh viên lên trường cũng chỉ tự làm như vậy thì ở nhà làm còn sướng hơn !,0,1,False
Em muốn nói về phần chấm điểm giữa kỳ.,1,1,True
"dạy dễ hiểu , vui tính , gần gũi với sinh viên .",2,0,False
"là người giáo viên quan tâm tới sinh viên nhiều nhất từng biết , giảng dạy tân tình từng chút một , dễ hiểu , lắng nghe sinh viên , tài liệu cập nhật đầy đủ ngay sau buổi học , nhờ đó sinh viên dù tư duy kém nhưng vẫn theo kịp chứ không nản , bỏ bê , ngủ như mấy môn khác .",2,0,False
"nói chung , tôi và bạn bè sau khi học môn nay đã từ bỏ lập trình android .",0,1,False
mong thầy vẫn giữa phong độ như thế ;) .,1,0,False
"thầy tận tâm , nhiệt tình , truyền đạt nhiều kinh nghiệm quý báu trong học tập và cuộc sống .",2,0,False
"cho nghỉ nhiều , học bù trùng lịch với môn khác .",0,0,False
"cô dạy rất nhiệt tình , rất hài lòng về cô .",2,0,False
"ngoài ra , giảng viên còn giúp các học sinh tích cực phát biểu trong tiết học .",2,0,False
"cần tăng số buổi thực hành cũng như trang bị thêm trang thiết bị như mua thêm nhiều switch , router , hub , bridge , trong phòng ngồi học mà ít bụi và nòng đi thì tốt hơn , vdotv .",0,2,False
Thầy dùng tiếng Anh để giảng bài.,1,0,True
"Cần thay máy chiếu với loa đi ạ, chiếu ảnh nhạt màu, loa thì trục trặc hoài.",0,2,True
thầy có phần demo code giúp sinh viên dễ hiểu .,2,0,False
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",0,0,False
"thầy dạy thì nên dạy sớm để dễ học , dễ nhớ , ban đầu thầy ít dạy vào kiến thức chính , đến giai đoạn cuối của kỳ là khi bận rộn nhiều thì thấy mới bắt đầu dạy kiến thức .",0,0,False
"cô rất nhiệt tình , tận tâm .",2,0,False
"giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm .",2,0,False
nhiệt tình giúp đỡ .,2,0,False
"tài liệu đầy đủ , phương pháp dạy dễ tiếp thu và giảng viên nhiệt tình .",2,1,False
"Môn TH cần có thêm BTVN và tài liệu phải update, rõ ràng hơn.",0,1,True
cần thêm code demo hướng dẫn phương pháp .,0,1,False
"thay đổi cách truyền đạt môn , thay vì giảng viên có giờ lên lớp giảng bài nhàm chán , sinh viên tiếp thu thụ động , ý kiến doubledot giảng viên chia nhỏ nhóm học tập , mỗi buổi sẽ đưa chủ đề của bài hôm đó và giải thích cách làm việc , cho thời gian sinh viên làm việc nhóm với sự giám xác của giảng viên , sau đó bốc thăm cho từng nhóm lên trình bày , sau đó giảng viên nhận xét cho điểm .",0,1,False
"Phòng máy tính hư nhiều quá, làm sv tụi em khó thực hành.",0,2,True
"Đề thi TH (thực hành) với LT (lý thuyết) nên được trưởng khoa duyệt trước, chứ vào phòng thi gv sửa đề hoài kỳ lắm.",0,1,True
cách nói chuyện .,1,0,False
"hiện tại tốt , không cần điều chỉnh gì thêm .",2,3,False
đồ án thực tế quá khó với sinh viên .,0,1,False
"giáo viên tận tình chỉ bảo , tạo không khí vui vẻ .",2,0,False
Số sv quá đông so với diện tích phòng học hiện tại.,0,2,True
Đề nghị cải thiện chất lượng âm thanh trong phòng học.,0,2,True
thầy dạy vui và truyền đạt nhiều kiến thức về thế giới bên ngoài .,2,0,False
"học anh văn nên học ở phòng lab , cách âm để khi học listening không bị ảnh hưởng bởi bên ngoài .",0,2,False
"thầy có tạo điều kiện cho chúng em thuyết trình về đồ án môn học , nhưng khi chúng em thuyết trình về nội dung doubledot "" giới thiệu về hệ thống nhúng và vai trò cũng như các ngành ứng dụng hệ thống nhúng "" .",1,0,False
đến lớp đúng giờ .,2,0,False
cô giảng lý thuyết còn quá chi là khó hiểu ạ .,0,0,False
"nhiệt tình , dễ gần , hình thức giảng dạy dễ hiểu .",2,0,False
cô truyền đạt kiến thức không tốt cách truyền đạt giống như là đọc thơ và nó rất buồn ngủ .,0,0,False
cô giảng dạy hết mình .,2,0,False
chỉ nên lấy điểm thi và điểm nộp bài .,0,1,False
cô dạy không nhiệt tình tuy có đầy đủ bài học .,0,0,False
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0,False
"tôi cảm cảm thấy không cần thiết , thay vào đó là các lớp kỹ năng hay học thuật sẽ tốt hơn !",0,1,False
Slide bài giảng của thầy có nhiều lỗi sai.,0,1,True
"vui vẻ , hài hòa , giảng dạy tích cực .",2,0,False
đôi lúc giảng viên nói nhỏ nên em không nghe được .,0,0,False
thêm giờ giải bài tập trên lớp .,0,1,False
"nên dạy đúng giáo án và thời khóa biểu , đừng kéo dài tới 1h30 mới cho ra , trong khi thời khóa biểu là 9h45 là hết .",0,0,False
"Góp ý nên đổi thi giữa kỳ tự luận sang trắc nghiệm. Với lại, mở đăng ký lớp thực hành sớm để sv đỡ bị trùng lịch.",0,1,True
thực hành thực tế nên giúp cho sinh viên hiểu rỏ hơn về mạch số và những cái trong mạch số .,2,1,False
"Tài liệu, công cụ cho bài thực hành các tuần 5-7 bị thiếu ạ.",0,3,True
